22 150
NAME STRING
FR1 FLOAT
FR2 FLOAT
FR3 FLOAT
FR4 FLOAT
FR5 FLOAT
FR6 FLOAT
FR7 FLOAT
FR8 FLOAT
FR9 FLOAT
FR10 FLOAT
FR11 FLOAT
FR12 FLOAT
FR13 FLOAT
FR14 FLOAT
FR15 FLOAT
FR16 FLOAT
FR17 FLOAT
FR18 FLOAT
FR19 FLOAT
FR20 FLOAT
FR21 FLOAT
"reo0" -89.27519 -46.970306 -24.305208 -12.806465 -7.243391 -4.5820155 -3.1953018 -2.2929866 -1.5344511 -0.788007 0.0 0.8628775 1.8346686 2.9712348 4.4079423 6.49056 10.015972 16.619307 29.344099 53.43207 97.369156 
"reo1" -29.281708 -15.223111 -7.9478273 -4.452967 -2.8897643 -2.1933515 -1.8024093 -1.4558469 -1.0536779 -0.56925136 0.0 0.6561343 1.4114358 2.2991507 3.397061 4.8767366 7.0913053 10.714575 16.944353 27.782799 46.40665 
"reo10" -81.21724 -39.688137 -18.039782 -7.5837936 -2.987108 -1.1844345 -0.5577002 -0.3443375 -0.23627515 -0.1314932 0.0 0.17390874 0.41125035 0.7579555 1.3426093 2.510474 5.071934 10.703506 22.539549 45.992825 89.84203 
"reo100" -20.39386 -12.43432 -7.897376 -5.3503547 -3.8919878 -2.9846988 -2.3272033 -1.761656 -1.2095883 -0.63087916 0.0 0.70622426 1.5150957 2.4645238 3.6152647 5.074676 7.0377455 9.851155 14.106132 20.765848 31.333138 
"reo101" -25.276917 -12.436034 -5.7035117 -2.413903 -0.93384475 -0.32738635 -0.10277427 -0.029049367 -0.010823669 -0.009600165 0.0 0.05073876 0.19162656 0.49678788 1.0859623 2.1682775 4.1209292 7.614405 13.795886 24.542463 42.79581 
"reo102" -28.461226 -17.388344 -10.711311 -6.732458 -4.354107 -2.8955224 -1.9529269 -1.2964214 -0.79766566 -0.38216302 0.0 0.39111096 0.83663785 1.3960352 2.1597013 3.278239 5.0101705 7.794257 12.352579 19.83052 31.979815 
"reo103" -42.370533 -22.57742 -12.0062 -6.6493726 -4.041191 -2.7577848 -2.0400488 -1.5217605 -1.0453829 -0.54802287 0.0 0.6215075 1.3412795 2.1948702 3.254963 4.692799 6.892224 10.633879 17.367086 29.586966 51.3343 
"reo104" -76.961235 -40.451374 -21.223366 -11.663079 -7.1106143 -4.901925 -3.6451814 -2.6983514 -1.8144655 -0.9210216 0.0 0.96504915 2.0083835 3.2014456 4.7057757 6.8929973 10.565411 17.31073 30.024504 53.633743 96.05531 
"reo105" -61.619358 -32.197777 -16.566147 -8.70807 -4.932655 -3.1207695 -2.1559052 -1.513291 -0.98087394 -0.4857973 0.0 0.5014357 1.0555626 1.7268472 2.6488216 4.1184845 6.7698226 11.85283 21.644398 40.01744 73.19465 
"reo106" -53.05362 -31.09445 -18.785158 -12.000086 -8.198086 -5.907375 -4.337129 -3.097705 -2.0113788 -0.9955077 0.0 1.0190028 2.1073415 3.3210537 4.7526927 6.5938563 9.2520275 13.539831 20.954817 34.067867 57.03833 
"reo107" -79.340836 -42.100918 -22.14225 -11.9371605 -6.8806653 -4.3368816 -2.9201376 -1.9772379 -1.2373676 -0.59610265 0.0 0.60175717 1.2721881 2.101343 3.2546575 5.088363 8.365476 14.605895 26.604134 49.14821 89.973236 
"reo108" -4.029939 -1.4616978 -0.21475016 0.2855215 0.400844 0.3452146 0.23522241 0.12765042 0.046477597 0.001401338 0.0 0.055655584 0.19335645 0.45550007 0.90981567 1.6615269 2.8718739 4.7851157 7.766133 12.350748 19.310886 
"reo109" -67.96081 -31.75217 -13.334912 -4.7879815 -1.2950037 -0.12729251 0.12249382 0.091858305 0.020936865 -0.018255781 0.0 0.10534172 0.34573117 0.8018608 1.6373668 3.2206547 6.3541465 12.64675 25.065369 48.70124 91.786934 
"reo11" -12.458531 -7.581477 -5.0808496 -3.8177805 -3.1224778 -2.6354058 -2.1876338 -1.7147523 -1.1987665 -0.6323694 0.0 0.7299081 1.6070834 2.7015727 4.111493 5.981973 8.54088 12.156927 17.425755 25.289585 37.19604 
"reo110" -30.204224 -16.834145 -9.379256 -5.371364 -3.263644 -2.1391156 -1.4889786 -1.050827 -0.6967639 -0.36143452 0.0 0.4339297 1.0003828 1.7851126 2.9216642 4.633402 7.3054743 11.596702 18.601358 30.070843 48.705196 
"reo111" -13.279141 -5.3717327 -1.6051238 -0.086114176 0.33243147 0.29625806 0.1341047 -0.009587678 -0.08503303 -0.08190826 0.0 0.16292304 0.4146247 0.77191615 1.2727835 2.005741 3.1650224 5.140226 8.64902 14.921529 25.945007 
"reo112" -76.55358 -40.76784 -21.614553 -11.856072 -7.048639 -4.6371546 -3.2716694 -2.3139503 -1.5024271 -0.74385387 0.0 0.76230365 1.5894407 2.5592854 3.8311565 5.759125 9.100356 15.350159 27.23542 49.398117 89.300545 
"reo113" -90.48535 -42.04211 -17.385384 -5.9763346 -1.3778608 0.0805804 0.30984524 0.1865905 0.04427166 -0.023450907 0.0 0.12303464 0.3679145 0.7927705 1.5605191 3.1015744 6.417254 13.570778 28.412754 57.58806 111.87099 
"reo114" -43.10884 -22.97256 -12.341493 -7.009655 -4.415625 -3.104493 -2.3218725 -1.7210933 -1.1647165 -0.6015071 0.0 0.68020624 1.4982903 2.54205 3.956607 6.0108433 9.220427 14.546294 23.687464 39.487022 66.47016 
"reo115" -28.92422 -14.667542 -7.4494953 -4.063542 -2.5771086 -1.9120303 -1.5280992 -1.1949853 -0.83780354 -0.44159582 0.0 0.50662315 1.1183342 1.902759 2.9769623 4.5587783 7.0623283 11.252455 18.472801 30.962257 52.27452 
"reo116" -89.09515 -43.59808 -20.197926 -9.05376 -4.188325 -2.2209349 -1.4133747 -0.98408365 -0.6459028 -0.32267734 0.0 0.33461884 0.7068672 1.1707481 1.868409 3.1793985 6.0040646 12.225805 25.396889 51.69255 101.1781 
"reo117" -35.61144 -19.283054 -10.551175 -6.121954 -3.9551919 -2.8640482 -2.2117083 -1.6911463 -1.1741415 -0.6156959 0.0 0.68589896 1.4645799 2.3807306 3.52748 5.1004305 7.4932437 11.448622 18.278543 30.167599 50.57328 
"reo118" -60.822647 -34.37364 -19.857153 -12.11741 -7.9885473 -5.6468444 -4.1224084 -2.947557 -1.9191074 -0.9517884 0.0 0.97486496 2.0143175 3.1726696 4.549712 6.368957 9.124222 13.817343 22.309793 37.810997 65.5261 
"reo119" -22.499212 -12.725398 -7.335282 -4.4593706 -2.939488 -2.0989082 -1.568807 -1.1629877 -0.79283875 -0.4144719 0.0 0.47509474 1.0365462 1.7158902 2.5630953 3.675286 5.249604 7.668252 11.623765 18.29256 29.564806 
"reo12" -40.227924 -21.822208 -12.222151 -7.4761257 -5.179142 -3.9699597 -3.1511126 -2.4142766 -1.6534221 -0.84820044 0.0 0.8968812 1.866506 2.9625678 4.297219 6.1050134 8.859522 13.460176 21.506908 35.680115 60.24356 
"reo120" -98.32702 -50.94518 -25.913887 -13.455036 -7.5749903 -4.8341813 -3.4195704 -2.476745 -1.658368 -0.84571093 0.0 0.89969707 1.8753122 2.9686189 4.3033447 6.233825 9.623471 16.29632 29.704937 55.857952 104.550476 
"reo121" -27.491903 -13.03067 -5.740265 -2.3970513 -1.0437165 -0.5756347 -0.4287446 -0.3544428 -0.26698986 -0.14892693 0.0 0.18491095 0.42336 0.75290334 1.2531701 2.0969381 3.6447175 6.597344 12.2210865 22.659767 41.348404 
"reo122" -30.760195 -13.950112 -5.560605 -1.8336619 -0.4664457 -0.14222321 -0.17534344 -0.25397432 -0.2643026 -0.17990547 0.0 0.27972144 0.67996305 1.2506977 2.1003313 3.4574533 5.7814655 9.938381 17.458092 30.88938 54.269 
"reo123" -24.211641 -15.249381 -9.98396 -6.923398 -5.1056643 -3.938158 -3.074796 -2.3253284 -1.5915132 -0.82477856 0.0 0.8999793 1.8944559 3.0149739 4.3208036 5.9251647 8.037566 11.027627 15.515765 22.496109 33.497013 
"reo124" -75.530914 -39.60848 -20.66487 -11.229797 -6.735486 -4.570476 -3.3667345 -2.4867396 -1.6772158 -0.8561833 0.0 0.90293986 1.8651768 2.9131575 4.1335344 5.786128 8.516871 13.704082 23.971367 43.900528 80.977745 
"reo125" -60.513958 -32.835094 -17.92635 -10.259336 -6.4201903 -4.4318185 -3.240881 -2.3459637 -1.5434152 -0.7673082 0.0 0.7702435 1.5680919 2.4499934 3.5465515 5.1519647 7.884064 12.9384775 22.460457 40.057896 71.47907 
